4: Kazalniki bolniškega staleža po spolu in gospodarskih dejavnostih (SKD), Slovenija, letno po spremenljivkah: Gospodarske dejavnosti po SKD, Kazalnik, Leto in Spol;;;
;;;
;;;Spol - SKUPAJ
A03 Ribištvo in gojenje vodnih organizmov;Izgubljeni koledarski dnevi na zaposlenega (IO);2013;14
A03 Ribištvo in gojenje vodnih organizmov;Izgubljeni koledarski dnevi na zaposlenega (IO);2014;16
A03 Ribištvo in gojenje vodnih organizmov;Izgubljeni koledarski dnevi na zaposlenega (IO);2015;6
A03 Ribištvo in gojenje vodnih organizmov;Izgubljeni koledarski dnevi na zaposlenega (IO);2016;8
A03 Ribištvo in gojenje vodnih organizmov;Izgubljeni koledarski dnevi na zaposlenega (IO);2017;16
A03 Ribištvo in gojenje vodnih organizmov;Izgubljeni koledarski dnevi na zaposlenega (IO);2018;12
B05 Pridobivanje premoga;Izgubljeni koledarski dnevi na zaposlenega (IO);2010;21
B05 Pridobivanje premoga;Izgubljeni koledarski dnevi na zaposlenega (IO);2011;19
B05 Pridobivanje premoga;Izgubljeni koledarski dnevi na zaposlenega (IO);2012;22
B05 Pridobivanje premoga;Izgubljeni koledarski dnevi na zaposlenega (IO);2013;28
B05 Pridobivanje premoga;Izgubljeni koledarski dnevi na zaposlenega (IO);2014;22
B05 Pridobivanje premoga;Izgubljeni koledarski dnevi na zaposlenega (IO);2015;31
B05 Pridobivanje premoga;Izgubljeni koledarski dnevi na zaposlenega (IO);2016;30
B05 Pridobivanje premoga;Izgubljeni koledarski dnevi na zaposlenega (IO);2017;33
B05 Pridobivanje premoga;Izgubljeni koledarski dnevi na zaposlenega (IO);2018;26
B06 Pridobivanje surove nafte in zemeljskega plina;Izgubljeni koledarski dnevi na zaposlenega (IO);2010;-
B06 Pridobivanje surove nafte in zemeljskega plina;Izgubljeni koledarski dnevi na zaposlenega (IO);2011;-
B06 Pridobivanje surove nafte in zemeljskega plina;Izgubljeni koledarski dnevi na zaposlenega (IO);2012;-
B06 Pridobivanje surove nafte in zemeljskega plina;Izgubljeni koledarski dnevi na zaposlenega (IO);2013;-
B06 Pridobivanje surove nafte in zemeljskega plina;Izgubljeni koledarski dnevi na zaposlenega (IO);2014;0
B06 Pridobivanje surove nafte in zemeljskega plina;Izgubljeni koledarski dnevi na zaposlenega (IO);2015;-
B06 Pridobivanje surove nafte in zemeljskega plina;Izgubljeni koledarski dnevi na zaposlenega (IO);2016;-
B06 Pridobivanje surove nafte in zemeljskega plina;Izgubljeni koledarski dnevi na zaposlenega (IO);2017;-
B06 Pridobivanje surove nafte in zemeljskega plina;Izgubljeni koledarski dnevi na zaposlenega (IO);2018;-
B07 Pridobivanje rud;Izgubljeni koledarski dnevi na zaposlenega (IO);2010;3
B07 Pridobivanje rud;Izgubljeni koledarski dnevi na zaposlenega (IO);2011;6
B07 Pridobivanje rud;Izgubljeni koledarski dnevi na zaposlenega (IO);2012;6
B07 Pridobivanje rud;Izgubljeni koledarski dnevi na zaposlenega (IO);2013;9
B07 Pridobivanje rud;Izgubljeni koledarski dnevi na zaposlenega (IO);2014;7
B07 Pridobivanje rud;Izgubljeni koledarski dnevi na zaposlenega (IO);2015;-
B07 Pridobivanje rud;Izgubljeni koledarski dnevi na zaposlenega (IO);2016;18
B07 Pridobivanje rud;Izgubljeni koledarski dnevi na zaposlenega (IO);2017;9
B07 Pridobivanje rud;Izgubljeni koledarski dnevi na zaposlenega (IO);2018;1
B08 Pridobivanje rudnin in kamnin;Izgubljeni koledarski dnevi na zaposlenega (IO);2010;18
B08 Pridobivanje rudnin in kamnin;Izgubljeni koledarski dnevi na zaposlenega (IO);2011;19
B08 Pridobivanje rudnin in kamnin;Izgubljeni koledarski dnevi na zaposlenega (IO);2012;16
B08 Pridobivanje rudnin in kamnin;Izgubljeni koledarski dnevi na zaposlenega (IO);2013;20
B08 Pridobivanje rudnin in kamnin;Izgubljeni koledarski dnevi na zaposlenega (IO);2014;21
B08 Pridobivanje rudnin in kamnin;Izgubljeni koledarski dnevi na zaposlenega (IO);2015;20
B08 Pridobivanje rudnin in kamnin;Izgubljeni koledarski dnevi na zaposlenega (IO);2016;17
B08 Pridobivanje rudnin in kamnin;Izgubljeni koledarski dnevi na zaposlenega (IO);2017;18
B08 Pridobivanje rudnin in kamnin;Izgubljeni koledarski dnevi na zaposlenega (IO);2018;19
B09 Storitve za rudarstvo;Izgubljeni koledarski dnevi na zaposlenega (IO);2010;22
B09 Storitve za rudarstvo;Izgubljeni koledarski dnevi na zaposlenega (IO);2011;13
B09 Storitve za rudarstvo;Izgubljeni koledarski dnevi na zaposlenega (IO);2012;19
B09 Storitve za rudarstvo;Izgubljeni koledarski dnevi na zaposlenega (IO);2013;8
B09 Storitve za rudarstvo;Izgubljeni koledarski dnevi na zaposlenega (IO);2014;7
B09 Storitve za rudarstvo;Izgubljeni koledarski dnevi na zaposlenega (IO);2015;15
B09 Storitve za rudarstvo;Izgubljeni koledarski dnevi na zaposlenega (IO);2016;8
B09 Storitve za rudarstvo;Izgubljeni koledarski dnevi na zaposlenega (IO);2017;10
B09 Storitve za rudarstvo;Izgubljeni koledarski dnevi na zaposlenega (IO);2018;22
C10 Proizvodnja živil;Izgubljeni koledarski dnevi na zaposlenega (IO);2010;19
C10 Proizvodnja živil;Izgubljeni koledarski dnevi na zaposlenega (IO);2011;18
C10 Proizvodnja živil;Izgubljeni koledarski dnevi na zaposlenega (IO);2012;19
C10 Proizvodnja živil;Izgubljeni koledarski dnevi na zaposlenega (IO);2013;19
C10 Proizvodnja živil;Izgubljeni koledarski dnevi na zaposlenega (IO);2014;17
C10 Proizvodnja živil;Izgubljeni koledarski dnevi na zaposlenega (IO);2015;18
C10 Proizvodnja živil;Izgubljeni koledarski dnevi na zaposlenega (IO);2016;18
C10 Proizvodnja živil;Izgubljeni koledarski dnevi na zaposlenega (IO);2017;19
C10 Proizvodnja živil;Izgubljeni koledarski dnevi na zaposlenega (IO);2018;21
C11 Proizvodnja pija?;Izgubljeni koledarski dnevi na zaposlenega (IO);2010;19
C11 Proizvodnja pija?;Izgubljeni koledarski dnevi na zaposlenega (IO);2011;17
C11 Proizvodnja pija?;Izgubljeni koledarski dnevi na zaposlenega (IO);2012;17
C11 Proizvodnja pija?;Izgubljeni koledarski dnevi na zaposlenega (IO);2013;18
C11 Proizvodnja pija?;Izgubljeni koledarski dnevi na zaposlenega (IO);2014;16
C11 Proizvodnja pija?;Izgubljeni koledarski dnevi na zaposlenega (IO);2015;17
C11 Proizvodnja pija?;Izgubljeni koledarski dnevi na zaposlenega (IO);2016;17
C11 Proizvodnja pija?;Izgubljeni koledarski dnevi na zaposlenega (IO);2017;15
C11 Proizvodnja pija?;Izgubljeni koledarski dnevi na zaposlenega (IO);2018;18
C12 Proizvodnja toba?nih izdelkov;Izgubljeni koledarski dnevi na zaposlenega (IO);2010;-
C12 Proizvodnja toba?nih izdelkov;Izgubljeni koledarski dnevi na zaposlenega (IO);2011;-
C12 Proizvodnja toba?nih izdelkov;Izgubljeni koledarski dnevi na zaposlenega (IO);2012;-
C12 Proizvodnja toba?nih izdelkov;Izgubljeni koledarski dnevi na zaposlenega (IO);2013;-
C12 Proizvodnja toba?nih izdelkov;Izgubljeni koledarski dnevi na zaposlenega (IO);2014;-
C12 Proizvodnja toba?nih izdelkov;Izgubljeni koledarski dnevi na zaposlenega (IO);2015;-
C12 Proizvodnja toba?nih izdelkov;Izgubljeni koledarski dnevi na zaposlenega (IO);2016;-
C12 Proizvodnja toba?nih izdelkov;Izgubljeni koledarski dnevi na zaposlenega (IO);2017;-
C12 Proizvodnja toba?nih izdelkov;Izgubljeni koledarski dnevi na zaposlenega (IO);2018;4
C13 Proizvodnja tekstilij;Izgubljeni koledarski dnevi na zaposlenega (IO);2010;26
C13 Proizvodnja tekstilij;Izgubljeni koledarski dnevi na zaposlenega (IO);2011;22
C13 Proizvodnja tekstilij;Izgubljeni koledarski dnevi na zaposlenega (IO);2012;23
C13 Proizvodnja tekstilij;Izgubljeni koledarski dnevi na zaposlenega (IO);2013;19
C13 Proizvodnja tekstilij;Izgubljeni koledarski dnevi na zaposlenega (IO);2014;20
C13 Proizvodnja tekstilij;Izgubljeni koledarski dnevi na zaposlenega (IO);2015;18
C13 Proizvodnja tekstilij;Izgubljeni koledarski dnevi na zaposlenega (IO);2016;17
C13 Proizvodnja tekstilij;Izgubljeni koledarski dnevi na zaposlenega (IO);2017;16
C13 Proizvodnja tekstilij;Izgubljeni koledarski dnevi na zaposlenega (IO);2018;21
C14 Proizvodnja obla?il;Izgubljeni koledarski dnevi na zaposlenega (IO);2010;18
C14 Proizvodnja obla?il;Izgubljeni koledarski dnevi na zaposlenega (IO);2011;17
C14 Proizvodnja obla?il;Izgubljeni koledarski dnevi na zaposlenega (IO);2012;17
C14 Proizvodnja obla?il;Izgubljeni koledarski dnevi na zaposlenega (IO);2013;19
C14 Proizvodnja obla?il;Izgubljeni koledarski dnevi na zaposlenega (IO);2014;18
C14 Proizvodnja obla?il;Izgubljeni koledarski dnevi na zaposlenega (IO);2015;14
C14 Proizvodnja obla?il;Izgubljeni koledarski dnevi na zaposlenega (IO);2016;14
C14 Proizvodnja obla?il;Izgubljeni koledarski dnevi na zaposlenega (IO);2017;14
C14 Proizvodnja obla?il;Izgubljeni koledarski dnevi na zaposlenega (IO);2018;16
C15 Proizvodnja usnja, usnjenih in sorodnih izdelkov;Izgubljeni koledarski dnevi na zaposlenega (IO);2010;19
C15 Proizvodnja usnja, usnjenih in sorodnih izdelkov;Izgubljeni koledarski dnevi na zaposlenega (IO);2011;18
C15 Proizvodnja usnja, usnjenih in sorodnih izdelkov;Izgubljeni koledarski dnevi na zaposlenega (IO);2012;20
C15 Proizvodnja usnja, usnjenih in sorodnih izdelkov;Izgubljeni koledarski dnevi na zaposlenega (IO);2013;19
C15 Proizvodnja usnja, usnjenih in sorodnih izdelkov;Izgubljeni koledarski dnevi na zaposlenega (IO);2014;17
C15 Proizvodnja usnja, usnjenih in sorodnih izdelkov;Izgubljeni koledarski dnevi na zaposlenega (IO);2015;17
C15 Proizvodnja usnja, usnjenih in sorodnih izdelkov;Izgubljeni koledarski dnevi na zaposlenega (IO);2016;23
C15 Proizvodnja usnja, usnjenih in sorodnih izdelkov;Izgubljeni koledarski dnevi na zaposlenega (IO);2017;24
C15 Proizvodnja usnja, usnjenih in sorodnih izdelkov;Izgubljeni koledarski dnevi na zaposlenega (IO);2018;24
C16 Obdelava in predelava lesa, proizvodnja izdelkov iz lesa,;Izgubljeni koledarski dnevi na zaposlenega (IO);2010;21
C16 Obdelava in predelava lesa, proizvodnja izdelkov iz lesa,;Izgubljeni koledarski dnevi na zaposlenega (IO);2011;20
C16 Obdelava in predelava lesa, proizvodnja izdelkov iz lesa,;Izgubljeni koledarski dnevi na zaposlenega (IO);2012;20
C16 Obdelava in predelava lesa, proizvodnja izdelkov iz lesa,;Izgubljeni koledarski dnevi na zaposlenega (IO);2013;17
C16 Obdelava in predelava lesa, proizvodnja izdelkov iz lesa,;Izgubljeni koledarski dnevi na zaposlenega (IO);2014;16
C16 Obdelava in predelava lesa, proizvodnja izdelkov iz lesa,;Izgubljeni koledarski dnevi na zaposlenega (IO);2015;17
C16 Obdelava in predelava lesa, proizvodnja izdelkov iz lesa,;Izgubljeni koledarski dnevi na zaposlenega (IO);2016;17
C16 Obdelava in predelava lesa, proizvodnja izdelkov iz lesa,;Izgubljeni koledarski dnevi na zaposlenega (IO);2017;17
C16 Obdelava in predelava lesa, proizvodnja izdelkov iz lesa,;Izgubljeni koledarski dnevi na zaposlenega (IO);2018;19
C17 Proizvodnja papirja in izdelkov iz papirja;Izgubljeni koledarski dnevi na zaposlenega (IO);2010;18
C17 Proizvodnja papirja in izdelkov iz papirja;Izgubljeni koledarski dnevi na zaposlenega (IO);2011;18
C17 Proizvodnja papirja in izdelkov iz papirja;Izgubljeni koledarski dnevi na zaposlenega (IO);2012;19
C17 Proizvodnja papirja in izdelkov iz papirja;Izgubljeni koledarski dnevi na zaposlenega (IO);2013;17
C17 Proizvodnja papirja in izdelkov iz papirja;Izgubljeni koledarski dnevi na zaposlenega (IO);2014;18
C17 Proizvodnja papirja in izdelkov iz papirja;Izgubljeni koledarski dnevi na zaposlenega (IO);2015;19
C17 Proizvodnja papirja in izdelkov iz papirja;Izgubljeni koledarski dnevi na zaposlenega (IO);2016;19
C17 Proizvodnja papirja in izdelkov iz papirja;Izgubljeni koledarski dnevi na zaposlenega (IO);2017;19
C17 Proizvodnja papirja in izdelkov iz papirja;Izgubljeni koledarski dnevi na zaposlenega (IO);2018;24
C18 Tiskarstvo in razmnoževanje posnetih nosilcev zapisa;Izgubljeni koledarski dnevi na zaposlenega (IO);2010;14
C18 Tiskarstvo in razmnoževanje posnetih nosilcev zapisa;Izgubljeni koledarski dnevi na zaposlenega (IO);2011;13
C18 Tiskarstvo in razmnoževanje posnetih nosilcev zapisa;Izgubljeni koledarski dnevi na zaposlenega (IO);2012;12
C18 Tiskarstvo in razmnoževanje posnetih nosilcev zapisa;Izgubljeni koledarski dnevi na zaposlenega (IO);2013;13
C18 Tiskarstvo in razmnoževanje posnetih nosilcev zapisa;Izgubljeni koledarski dnevi na zaposlenega (IO);2014;13
C18 Tiskarstvo in razmnoževanje posnetih nosilcev zapisa;Izgubljeni koledarski dnevi na zaposlenega (IO);2015;12
C18 Tiskarstvo in razmnoževanje posnetih nosilcev zapisa;Izgubljeni koledarski dnevi na zaposlenega (IO);2016;12
C18 Tiskarstvo in razmnoževanje posnetih nosilcev zapisa;Izgubljeni koledarski dnevi na zaposlenega (IO);2017;13
C18 Tiskarstvo in razmnoževanje posnetih nosilcev zapisa;Izgubljeni koledarski dnevi na zaposlenega (IO);2018;12
C19 Proizvodnja koksa in naftnih derivatov;Izgubljeni koledarski dnevi na zaposlenega (IO);2010;21
C19 Proizvodnja koksa in naftnih derivatov;Izgubljeni koledarski dnevi na zaposlenega (IO);2011;8
C19 Proizvodnja koksa in naftnih derivatov;Izgubljeni koledarski dnevi na zaposlenega (IO);2012;33
C19 Proizvodnja koksa in naftnih derivatov;Izgubljeni koledarski dnevi na zaposlenega (IO);2013;27
C19 Proizvodnja koksa in naftnih derivatov;Izgubljeni koledarski dnevi na zaposlenega (IO);2014;8
C19 Proizvodnja koksa in naftnih derivatov;Izgubljeni koledarski dnevi na zaposlenega (IO);2015;18
C19 Proizvodnja koksa in naftnih derivatov;Izgubljeni koledarski dnevi na zaposlenega (IO);2016;13
C19 Proizvodnja koksa in naftnih derivatov;Izgubljeni koledarski dnevi na zaposlenega (IO);2017;15
C19 Proizvodnja koksa in naftnih derivatov;Izgubljeni koledarski dnevi na zaposlenega (IO);2018;9
C20 Proizvodnja kemikalij, kemi?nih izdelkov;Izgubljeni koledarski dnevi na zaposlenega (IO);2010;20
C20 Proizvodnja kemikalij, kemi?nih izdelkov;Izgubljeni koledarski dnevi na zaposlenega (IO);2011;17
C20 Proizvodnja kemikalij, kemi?nih izdelkov;Izgubljeni koledarski dnevi na zaposlenega (IO);2012;17
C20 Proizvodnja kemikalij, kemi?nih izdelkov;Izgubljeni koledarski dnevi na zaposlenega (IO);2013;16
C20 Proizvodnja kemikalij, kemi?nih izdelkov;Izgubljeni koledarski dnevi na zaposlenega (IO);2014;15
C20 Proizvodnja kemikalij, kemi?nih izdelkov;Izgubljeni koledarski dnevi na zaposlenega (IO);2015;15
C20 Proizvodnja kemikalij, kemi?nih izdelkov;Izgubljeni koledarski dnevi na zaposlenega (IO);2016;16
C20 Proizvodnja kemikalij, kemi?nih izdelkov;Izgubljeni koledarski dnevi na zaposlenega (IO);2017;16
C20 Proizvodnja kemikalij, kemi?nih izdelkov;Izgubljeni koledarski dnevi na zaposlenega (IO);2018;18
C21 Proizvodnja farmacevtskih surovin in preparatov;Izgubljeni koledarski dnevi na zaposlenega (IO);2010;15
C21 Proizvodnja farmacevtskih surovin in preparatov;Izgubljeni koledarski dnevi na zaposlenega (IO);2011;16
C21 Proizvodnja farmacevtskih surovin in preparatov;Izgubljeni koledarski dnevi na zaposlenega (IO);2012;14
C21 Proizvodnja farmacevtskih surovin in preparatov;Izgubljeni koledarski dnevi na zaposlenega (IO);2013;16
C21 Proizvodnja farmacevtskih surovin in preparatov;Izgubljeni koledarski dnevi na zaposlenega (IO);2014;16
C21 Proizvodnja farmacevtskih surovin in preparatov;Izgubljeni koledarski dnevi na zaposlenega (IO);2015;16
C21 Proizvodnja farmacevtskih surovin in preparatov;Izgubljeni koledarski dnevi na zaposlenega (IO);2016;17
C21 Proizvodnja farmacevtskih surovin in preparatov;Izgubljeni koledarski dnevi na zaposlenega (IO);2017;19
C21 Proizvodnja farmacevtskih surovin in preparatov;Izgubljeni koledarski dnevi na zaposlenega (IO);2018;20
C22 Proizvodnja izdelkov iz gume in plasti?nih mas;Izgubljeni koledarski dnevi na zaposlenega (IO);2010;16
C22 Proizvodnja izdelkov iz gume in plasti?nih mas;Izgubljeni koledarski dnevi na zaposlenega (IO);2011;16
C22 Proizvodnja izdelkov iz gume in plasti?nih mas;Izgubljeni koledarski dnevi na zaposlenega (IO);2012;15
C22 Proizvodnja izdelkov iz gume in plasti?nih mas;Izgubljeni koledarski dnevi na zaposlenega (IO);2013;17
C22 Proizvodnja izdelkov iz gume in plasti?nih mas;Izgubljeni koledarski dnevi na zaposlenega (IO);2014;15
C22 Proizvodnja izdelkov iz gume in plasti?nih mas;Izgubljeni koledarski dnevi na zaposlenega (IO);2015;15
C22 Proizvodnja izdelkov iz gume in plasti?nih mas;Izgubljeni koledarski dnevi na zaposlenega (IO);2016;16
C22 Proizvodnja izdelkov iz gume in plasti?nih mas;Izgubljeni koledarski dnevi na zaposlenega (IO);2017;16
C22 Proizvodnja izdelkov iz gume in plasti?nih mas;Izgubljeni koledarski dnevi na zaposlenega (IO);2018;17
C23 Proizvodnja nekovinskih mineralnih izdelkov;Izgubljeni koledarski dnevi na zaposlenega (IO);2010;20
C23 Proizvodnja nekovinskih mineralnih izdelkov;Izgubljeni koledarski dnevi na zaposlenega (IO);2011;21
C23 Proizvodnja nekovinskih mineralnih izdelkov;Izgubljeni koledarski dnevi na zaposlenega (IO);2012;20
C23 Proizvodnja nekovinskih mineralnih izdelkov;Izgubljeni koledarski dnevi na zaposlenega (IO);2013;22
C23 Proizvodnja nekovinskih mineralnih izdelkov;Izgubljeni koledarski dnevi na zaposlenega (IO);2014;19
C23 Proizvodnja nekovinskih mineralnih izdelkov;Izgubljeni koledarski dnevi na zaposlenega (IO);2015;18
C23 Proizvodnja nekovinskih mineralnih izdelkov;Izgubljeni koledarski dnevi na zaposlenega (IO);2016;19
C23 Proizvodnja nekovinskih mineralnih izdelkov;Izgubljeni koledarski dnevi na zaposlenega (IO);2017;21
C23 Proizvodnja nekovinskih mineralnih izdelkov;Izgubljeni koledarski dnevi na zaposlenega (IO);2018;20
C24 Proizvodnja kovin;Izgubljeni koledarski dnevi na zaposlenega (IO);2010;20
C24 Proizvodnja kovin;Izgubljeni koledarski dnevi na zaposlenega (IO);2011;22
C24 Proizvodnja kovin;Izgubljeni koledarski dnevi na zaposlenega (IO);2012;19
C24 Proizvodnja kovin;Izgubljeni koledarski dnevi na zaposlenega (IO);2013;18
C24 Proizvodnja kovin;Izgubljeni koledarski dnevi na zaposlenega (IO);2014;18
C24 Proizvodnja kovin;Izgubljeni koledarski dnevi na zaposlenega (IO);2015;19
C24 Proizvodnja kovin;Izgubljeni koledarski dnevi na zaposlenega (IO);2016;17
C24 Proizvodnja kovin;Izgubljeni koledarski dnevi na zaposlenega (IO);2017;22
C24 Proizvodnja kovin;Izgubljeni koledarski dnevi na zaposlenega (IO);2018;23
C25 Proizvodnja kovinskih izdelkov, razen strojev in naprav;Izgubljeni koledarski dnevi na zaposlenega (IO);2010;17
C25 Proizvodnja kovinskih izdelkov, razen strojev in naprav;Izgubljeni koledarski dnevi na zaposlenega (IO);2011;16
C25 Proizvodnja kovinskih izdelkov, razen strojev in naprav;Izgubljeni koledarski dnevi na zaposlenega (IO);2012;15
C25 Proizvodnja kovinskih izdelkov, razen strojev in naprav;Izgubljeni koledarski dnevi na zaposlenega (IO);2013;14
C25 Proizvodnja kovinskih izdelkov, razen strojev in naprav;Izgubljeni koledarski dnevi na zaposlenega (IO);2014;13
C25 Proizvodnja kovinskih izdelkov, razen strojev in naprav;Izgubljeni koledarski dnevi na zaposlenega (IO);2015;14
C25 Proizvodnja kovinskih izdelkov, razen strojev in naprav;Izgubljeni koledarski dnevi na zaposlenega (IO);2016;15
C25 Proizvodnja kovinskih izdelkov, razen strojev in naprav;Izgubljeni koledarski dnevi na zaposlenega (IO);2017;14
C25 Proizvodnja kovinskih izdelkov, razen strojev in naprav;Izgubljeni koledarski dnevi na zaposlenega (IO);2018;16
C26 Proizvodnja ra?unalnikov, elektronskih in opti?nih izdelkov;Izgubljeni koledarski dnevi na zaposlenega (IO);2010;20
C26 Proizvodnja ra?unalnikov, elektronskih in opti?nih izdelkov;Izgubljeni koledarski dnevi na zaposlenega (IO);2011;15
C26 Proizvodnja ra?unalnikov, elektronskih in opti?nih izdelkov;Izgubljeni koledarski dnevi na zaposlenega (IO);2012;17
C26 Proizvodnja ra?unalnikov, elektronskih in opti?nih izdelkov;Izgubljeni koledarski dnevi na zaposlenega (IO);2013;16
C26 Proizvodnja ra?unalnikov, elektronskih in opti?nih izdelkov;Izgubljeni koledarski dnevi na zaposlenega (IO);2014;17
C26 Proizvodnja ra?unalnikov, elektronskih in opti?nih izdelkov;Izgubljeni koledarski dnevi na zaposlenega (IO);2015;17
C26 Proizvodnja ra?unalnikov, elektronskih in opti?nih izdelkov;Izgubljeni koledarski dnevi na zaposlenega (IO);2016;16
C26 Proizvodnja ra?unalnikov, elektronskih in opti?nih izdelkov;Izgubljeni koledarski dnevi na zaposlenega (IO);2017;18
C26 Proizvodnja ra?unalnikov, elektronskih in opti?nih izdelkov;Izgubljeni koledarski dnevi na zaposlenega (IO);2018;17
C27 Proizvodnja elektri?nih naprav;Izgubljeni koledarski dnevi na zaposlenega (IO);2010;22
C27 Proizvodnja elektri?nih naprav;Izgubljeni koledarski dnevi na zaposlenega (IO);2011;21
C27 Proizvodnja elektri?nih naprav;Izgubljeni koledarski dnevi na zaposlenega (IO);2012;24
C27 Proizvodnja elektri?nih naprav;Izgubljeni koledarski dnevi na zaposlenega (IO);2013;21
C27 Proizvodnja elektri?nih naprav;Izgubljeni koledarski dnevi na zaposlenega (IO);2014;19
C27 Proizvodnja elektri?nih naprav;Izgubljeni koledarski dnevi na zaposlenega (IO);2015;20
C27 Proizvodnja elektri?nih naprav;Izgubljeni koledarski dnevi na zaposlenega (IO);2016;18
C27 Proizvodnja elektri?nih naprav;Izgubljeni koledarski dnevi na zaposlenega (IO);2017;20
C27 Proizvodnja elektri?nih naprav;Izgubljeni koledarski dnevi na zaposlenega (IO);2018;22
C28 Proizvodnja drugih strojev in naprav;Izgubljeni koledarski dnevi na zaposlenega (IO);2010;19
C28 Proizvodnja drugih strojev in naprav;Izgubljeni koledarski dnevi na zaposlenega (IO);2011;17
C28 Proizvodnja drugih strojev in naprav;Izgubljeni koledarski dnevi na zaposlenega (IO);2012;16
C28 Proizvodnja drugih strojev in naprav;Izgubljeni koledarski dnevi na zaposlenega (IO);2013;16
C28 Proizvodnja drugih strojev in naprav;Izgubljeni koledarski dnevi na zaposlenega (IO);2014;15
C28 Proizvodnja drugih strojev in naprav;Izgubljeni koledarski dnevi na zaposlenega (IO);2015;15
C28 Proizvodnja drugih strojev in naprav;Izgubljeni koledarski dnevi na zaposlenega (IO);2016;16
C28 Proizvodnja drugih strojev in naprav;Izgubljeni koledarski dnevi na zaposlenega (IO);2017;16
C28 Proizvodnja drugih strojev in naprav;Izgubljeni koledarski dnevi na zaposlenega (IO);2018;17
C29 Proizvodnja motornih vozil, prikolic in polprikolic;Izgubljeni koledarski dnevi na zaposlenega (IO);2010;18
C29 Proizvodnja motornih vozil, prikolic in polprikolic;Izgubljeni koledarski dnevi na zaposlenega (IO);2011;18
C29 Proizvodnja motornih vozil, prikolic in polprikolic;Izgubljeni koledarski dnevi na zaposlenega (IO);2012;18
C29 Proizvodnja motornih vozil, prikolic in polprikolic;Izgubljeni koledarski dnevi na zaposlenega (IO);2013;18
C29 Proizvodnja motornih vozil, prikolic in polprikolic;Izgubljeni koledarski dnevi na zaposlenega (IO);2014;16
C29 Proizvodnja motornih vozil, prikolic in polprikolic;Izgubljeni koledarski dnevi na zaposlenega (IO);2015;17
C29 Proizvodnja motornih vozil, prikolic in polprikolic;Izgubljeni koledarski dnevi na zaposlenega (IO);2016;19
C29 Proizvodnja motornih vozil, prikolic in polprikolic;Izgubljeni koledarski dnevi na zaposlenega (IO);2017;17
C29 Proizvodnja motornih vozil, prikolic in polprikolic;Izgubljeni koledarski dnevi na zaposlenega (IO);2018;19
C30 Proizvodnja drugih vozil in plovil;Izgubljeni koledarski dnevi na zaposlenega (IO);2010;33
C30 Proizvodnja drugih vozil in plovil;Izgubljeni koledarski dnevi na zaposlenega (IO);2011;15
C30 Proizvodnja drugih vozil in plovil;Izgubljeni koledarski dnevi na zaposlenega (IO);2012;10
C30 Proizvodnja drugih vozil in plovil;Izgubljeni koledarski dnevi na zaposlenega (IO);2013;15
C30 Proizvodnja drugih vozil in plovil;Izgubljeni koledarski dnevi na zaposlenega (IO);2014;11
C30 Proizvodnja drugih vozil in plovil;Izgubljeni koledarski dnevi na zaposlenega (IO);2015;12
C30 Proizvodnja drugih vozil in plovil;Izgubljeni koledarski dnevi na zaposlenega (IO);2016;10
C30 Proizvodnja drugih vozil in plovil;Izgubljeni koledarski dnevi na zaposlenega (IO);2017;13
C30 Proizvodnja drugih vozil in plovil;Izgubljeni koledarski dnevi na zaposlenega (IO);2018;14
C31 Proizvodnja pohištva;Izgubljeni koledarski dnevi na zaposlenega (IO);2010;20
C31 Proizvodnja pohištva;Izgubljeni koledarski dnevi na zaposlenega (IO);2011;18
C31 Proizvodnja pohištva;Izgubljeni koledarski dnevi na zaposlenega (IO);2012;17
C31 Proizvodnja pohištva;Izgubljeni koledarski dnevi na zaposlenega (IO);2013;15
C31 Proizvodnja pohištva;Izgubljeni koledarski dnevi na zaposlenega (IO);2014;16
C31 Proizvodnja pohištva;Izgubljeni koledarski dnevi na zaposlenega (IO);2015;15
C31 Proizvodnja pohištva;Izgubljeni koledarski dnevi na zaposlenega (IO);2016;15
C31 Proizvodnja pohištva;Izgubljeni koledarski dnevi na zaposlenega (IO);2017;17
C31 Proizvodnja pohištva;Izgubljeni koledarski dnevi na zaposlenega (IO);2018;18
C32 Druge raznovrstne predelovalne dejavnosti;Izgubljeni koledarski dnevi na zaposlenega (IO);2010;14
C32 Druge raznovrstne predelovalne dejavnosti;Izgubljeni koledarski dnevi na zaposlenega (IO);2011;12
C32 Druge raznovrstne predelovalne dejavnosti;Izgubljeni koledarski dnevi na zaposlenega (IO);2012;15
C32 Druge raznovrstne predelovalne dejavnosti;Izgubljeni koledarski dnevi na zaposlenega (IO);2013;15
C32 Druge raznovrstne predelovalne dejavnosti;Izgubljeni koledarski dnevi na zaposlenega (IO);2014;12
C32 Druge raznovrstne predelovalne dejavnosti;Izgubljeni koledarski dnevi na zaposlenega (IO);2015;14
C32 Druge raznovrstne predelovalne dejavnosti;Izgubljeni koledarski dnevi na zaposlenega (IO);2016;13
C32 Druge raznovrstne predelovalne dejavnosti;Izgubljeni koledarski dnevi na zaposlenega (IO);2017;16
C32 Druge raznovrstne predelovalne dejavnosti;Izgubljeni koledarski dnevi na zaposlenega (IO);2018;16
C33 Popravila in montaža strojev in naprav;Izgubljeni koledarski dnevi na zaposlenega (IO);2010;8
